productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
248967,Arcjet Lightcraft,Arcjet Lightcraft,https://tcgplayer-cdn.tcgplayer.com/product/248967_200w.jpg,2,2847,https://cpt.tcgcsv.com/mC_2,2024-07-26T14:54:37.41,1,"If you control no monsters, you can Normal Summon this card without Tributing. If this card is Normal or Special Summoned: You can target 1 Level 8 or lower Machine monster in your GY; Special Summon it in Defense Position, and if you do, its Level becomes 9, also negate its effects. You can only use this effect of ""Arcjet Lightcraft"" once per turn. You cannot Special Summon monsters from the Extra Deck, except Machine Xyz Monsters.",,0.01,0.1,1.49,0.07,0.02,1st Edition,MP21-EN004,Common,LIGHT,Machine,Effect Monster,0,2100,,
248968,Tri-Brigade Shuraig the Ominous Omen,Tri Brigade Shuraig the Ominous Omen,https://tcgplayer-cdn.tcgplayer.com/product/248968_200w.jpg,2,2847,https://cpt.tcgcsv.com/nC_2,2025-03-26T14:49:43.507,1,"2+ Beast, Beast-Warrior, and/or Winged Beast monsters
<br>If this card is Special Summoned, or if another Beast, Beast-Warrior, or Winged Beast monster(s) is Special Summoned to your field: You can banish 1 card on the field. If this card is sent to the GY: You can add 1 Beast, Beast-Warrior, or Winged Beast monster from your Deck to your hand, whose Level is less than or equal to the number of your banished Beast, Beast-Warrior, and Winged Beast monsters. You can only use each effect of ""Tri-Brigade Shuraig the Ominous Omen"" once per turn.",,0.05,1.99,16.88,1.42,3.97,1st Edition,MP21-EN198,Ultra Rare,DARK,Winged Beast,Link/Effect Monster,3000,,4,Bottom-Right;Left;Bottom-Left;Right
248969,Sky Striker Ace - Roze,Sky Striker Ace Roze,https://tcgplayer-cdn.tcgplayer.com/product/248969_200w.jpg,2,2847,https://cpt.tcgcsv.com/pC_2,2024-07-26T14:54:37.553,1,"If a ""Sky Striker Ace"" monster(s) is Normal or Special Summoned, except ""Sky Striker Ace - Roze"" (except during the Damage Step): You can Special Summon this card from your hand. If an opponent's monster in the Extra Monster Zone is destroyed by battle, or leaves the field because of your card effect, while this card is in your GY: You can Special Summon this card, then you can negate the effects of 1 face-up monster your opponent controls, until the end of this turn. You can only use each effect of ""Sky Striker Ace - Roze"" once per turn.",,0.36,1.0,20.0,0.92,1.67,1st Edition,MP21-EN005,Prismatic Secret Rare,LIGHT,Warrior,Effect Monster,1500,1500,,
248970,Tri-Brigade Rugal the Silver Sheller,Tri Brigade Rugal the Silver Sheller,https://tcgplayer-cdn.tcgplayer.com/product/248970_200w.jpg,2,2847,https://cpt.tcgcsv.com/qC_2,2024-07-26T14:54:37.657,1,"2+ Beast, Beast-Warrior, and/or Winged Beast monsters
<br>During your opponent's Main Phase (Quick Effect): You can Special Summon 1 Level 4 or lower Beast, Beast-Warrior, or Winged Beast monster from your hand or GY, but negate its effects, also, return it to the hand during the End Phase. If this card is sent to the GY: You can make all monsters your opponent currently controls lose 300 ATK for each Monster Type you control, until the end of this turn. You can only use each effect of ""Tri-Brigade Rugal the Silver Sheller"" once per turn.",,0.01,0.28,3.0,0.28,0.13,1st Edition,MP21-EN197,Super Rare,EARTH,Beast-Warrior,Link/Effect Monster,2300,,3,Bottom-Right;Bottom;Right
248971,Witchcrafter Genni,Witchcrafter Genni,https://tcgplayer-cdn.tcgplayer.com/product/248971_200w.jpg,2,2847,https://cpt.tcgcsv.com/rC_2,2021-10-05T18:13:42.61,1,"During the Main Phase (Quick Effect): You can Tribute this card and discard 1 Spell; Special Summon 1 ""Witchcrafter"" monster from your Deck, except ""Witchcrafter Genni"". You can banish this card and 1 ""Witchcrafter"" Spell from your GY; this effect becomes that Spell's effect when that card is activated. You can only use each effect of ""Witchcrafter Genni"" once per turn.",,0.02,0.2,1.49,0.13,0.05,1st Edition,MP21-EN006,Common,WIND,Spellcaster,Effect Monster,300,500,,
248972,Tri-Brigade Ferrijit the Barren Blossom,Tri Brigade Ferrijit the Barren Blossom,https://tcgplayer-cdn.tcgplayer.com/product/248972_200w.jpg,2,2847,https://cpt.tcgcsv.com/sC_2,2022-07-05T05:19:43.047,1,"2 Beast, Beast-Warrior, and/or Winged Beast monsters
<br>During your Main Phase: You can Special Summon 1 Level 4 or lower Beast, Beast-Warrior, or Winged Beast monster from your hand, also you cannot use monsters as Link Material for the rest of this turn, except Beast, Beast-Warrior, or Winged Beast monsters. If this card is sent to the GY: You can draw 1 card, then place 1 card from your hand on the bottom of the Deck. You can only use each effect of ""Tri-Brigade Ferrijit the Barren Blossom"" once per turn.",,1.11,2.5,19.99,2.29,4.22,1st Edition,MP21-EN196,Prismatic Secret Rare,EARTH,Beast,Link/Effect Monster,1600,,2,Left;Bottom-Left
248973,Divine Arsenal AA-ZEUS - Sky Thunder,Divine Arsenal AA ZEUS Sky Thunder,https://tcgplayer-cdn.tcgplayer.com/product/248973_200w.jpg,2,2847,https://cpt.tcgcsv.com/tC_2,2023-03-26T15:00:57.1,1,"2 Level 12 monsters
<br>Once per turn, if an Xyz Monster battled this turn, you can also Xyz Summon ""Divine Arsenal AA-ZEUS - Sky Thunder"" by using 1 Xyz Monster you control as material. (Transfer its materials to this card.) (Quick Effect): You can detach 2 materials from this card; send all other cards from the field to the GY. Once per turn, if another card(s) you control is destroyed by battle or an opponent's card effect: You can attach 1 card from your hand, Deck, or Extra Deck to this card as material.",,6.75,9.0,50.0,7.73,8.97,1st Edition,MP21-EN195,Ultra Rare,LIGHT,Machine,Xyz/Effect Monster,3000,3000,,
248974,"Gizmek Kaku, the Supreme Shining Sky Stag",Gizmek Kaku the Supreme Shining Sky Stag,https://tcgplayer-cdn.tcgplayer.com/product/248974_200w.jpg,2,2847,https://cpt.tcgcsv.com/vC_2,2024-07-26T14:54:37.703,1,"If a monster is in the Extra Monster Zone: You can Special Summon this card from your hand. You can target 1 face-up monster in the Extra Monster Zone; equip that face-up monster to this card (max. 1). When this card destroys an opponent's monster by battle: You can Special Summon 1 of your Monster Cards equipped to this card. You can only use each effect of ""Gizmek Kaku, the Supreme Shining Sky Stag"" once per turn.",,0.05,0.25,5.0,0.12,0.1,1st Edition,MP21-EN007,Ultra Rare,FIRE,Machine,Effect Monster,2750,2750,,
248975,Joyous Melffys,Joyous Melffys,https://tcgplayer-cdn.tcgplayer.com/product/248975_200w.jpg,2,2847,https://cpt.tcgcsv.com/wC_2,2024-07-26T14:54:37.74,1,"2+ Level 2 Beast monsters
<br>You can detach 1 material from this card; your ""Melffy"" monsters can attack directly this turn. During your opponent's turn (Quick Effect): You can target 1 Beast Xyz Monster you control; return that monster to the Extra Deck, then you can Special Summon Level 2 or lower Beast monsters from your GY, up to the number of materials that monster had. You can only use this effect of ""Joyous Melffys"" once per turn.",,0.01,0.22,1.49,0.18,0.18,1st Edition,MP21-EN194,Common,EARTH,Beast,Xyz/Effect Monster,2000,500,,
248976,Jack-o-Bolan,Jack o Bolan,https://tcgplayer-cdn.tcgplayer.com/product/248976_200w.jpg,2,2847,https://cpt.tcgcsv.com/xC_2,2024-07-26T14:54:37.787,1,"You can discard 1 Zombie monster; Special Summon this card from your hand. During your opponent's Main Phase (Quick Effect): You can target 1 Zombie monster in either GY; Special Summon that monster (but banish it when it leaves the field), then banish this face-up card until the End Phase. You can only use each effect of ""Jack-o-Bolan"" once per turn.",,0.06,0.2,1.49,0.13,0.1,1st Edition,MP21-EN008,Common,FIRE,Zombie,Effect Monster,1500,2200,,
